LOTTO 1
1/2012 -  5 11 18 21 24 27 33 -  2 7 20 25
2/2012 -  2 5 13 20 28 29 31 -  4 6 8 27
3/2012 -  3 18 27 28 29 31 33 -  11 15 23 24
4/2012 -  13 15 16 19 21 25 33 -  14 27 28 30
5/2012 -  2 5 6 10 11 22 28 -  1 3 25 34
6/2012 -  2 4 16 22 25 29 35 -  6 7 8 13
7/2012 -  7 9 10 13 23 26 33 -  11 17 25 30
8/2012 -  3 4 14 15 20 24 26 -  7 8 9 22
9/2012 -  1 4 15 17 21 25 34 -  2 3 11 32
10/2012 -  5 8 9 13 16 18 35 -  7 21 22 29
11/2012 -  8 11 18 26 28 29 30 -  5 10 32 34
12/2012 -  3 12 21 22 24 30 35 -  2 14 26 29
13/2012 -  6 13 22 23 29 30 32 -  10 14 25 34
14/2012 -  3 5 10 12 16 18 32 -  17 23 25 26
15/2012 -  5 8 18 26 27 30 34 -  4 6 31 32
16/2012 -  2 4 8 12 15 25 34 -  7 10 26 30
17/2012 -  1 3 6 11 19 32 34 -  8 13 25 26
18/2012 -  1 5 15 16 19 22 27 -  6 7 10 33
19/2012 -  1 11 12 16 23 24 34 -  13 19 20 32
20/2012 -  1 4 6 8 19 20 28 -  10 13 21 33
21/2012 -  8 9 16 31 32 33 35 -  3 10 25 30
22/2012 -  3 6 9 12 20 21 22 -  11 14 28 33
23/2012 -  1 15 16 20 22 26 33 -  2 6 29 31
24/2012 -  3 12 14 18 19 29 34 -  1 6 23 27
25/2012 -  5 9 16 25 26 34 35 -  4 6 18 31
26/2012 -  2 3 20 21 22 31 33 -  4 12 14 16
27/2012 -  2 6 7 11 19 21 29 -  3 8 15 20
28/2012 -  3 8 13 15 18 29 33 -  2 11 23 28
29/2012 -  1 7 10 14 19 21 31 -  9 20 22 24
30/2012 -  9 12 16 17 20 34 35 -  13 19 21 32
31/2012 -  4 7 11 20 21 23 35 -  1 8 19 34
32/2012 -  4 14 19 21 25 31 34 -  1 2 18 33
33/2012 -  1 3 11 15 18 24 33 -  17 27 28 31
34/2012 -  2 5 9 13 17 18 31 -  8 10 20 22
35/2012 -  5 6 7 9 15 32 35 -  3 19 22 31
36/2012 -  3 5 15 27 29 30 35 -  6 9 19 24
37/2012 -  6 11 14 19 21 24 32 -  5 17 30 31
38/2012 -  5 11 13 18 22 25 31 -  7 16 30 32
39/2012 -  6 13 17 20 27 29 33 -  5 8 11 19
40/2012 -  2 5 19 22 25 28 32 -  3 10 26 34
41/2012 -  4 12 22 24 28 31 33 -  6 10 16 26
42/2012 -  1 2 7 11 21 24 26 -  5 6 19 22
43/2012 -  5 7 12 17 19 21 27 -  10 14 23 35
44/2012 -  2 3 8 9 16 21 34 -  6 7 13 28
45/2012 -  3 9 11 21 26 32 35 -  6 20 27 34
46/2012 -  3 8 13 16 17 24 29 -  4 6 11 32
47/2012 -  7 13 15 20 25 28 34 -  2 8 18 24
48/2012 -  2 6 14 17 23 30 34 -  13 22 31 35
49/2012 -  4 6 7 9 10 13 27 -  19 22 23 32
50/2012 -  4 10 14 16 19 21 31 -  2 7 18 27
51/2012 -  2 4 13 22 27 30 32 -  10 15 25 31
52/2012 -  1 10 11 20 26 29 34 -  3 5 12 23
1/2013 -  10 16 20 22 25 28 29 -  2 19 23 24
2/2013 -  6 13 16 22 25 34 35 -  8 9 29 31
3/2013 -  4 9 13 18 22 23 30 -  17 20 24 27
4/2013 -  13 18 19 29 30 32 33 -  8 22 28 31
5/2013 -  3 10 21 22 23 33 34 -  1 5 18 30
6/2013 -  4 5 11 14 17 19 31 -  1 10 23 35
7/2013 -  1 7 16 18 21 29 32 -  4 10 26 28
8/2013 -  3 6 11 12 18 20 30 -  1 10 17 26
9/2013 -  1 6 11 20 21 28 30 -  14 15 27 35
10/2013 -  1 2 10 15 25 30 32 -  13 19 29 31
11/2013 -  5 6 7 10 15 19 22 -  11 13 17 31
12/2013 -  4 8 12 14 26 31 34 -  5 9 16 33
13/2013 -  4 8 16 19 25 31 34 -  13 14 30 33
14/2013 -  6 10 14 16 20 23 26 -  21 24 28 31
15/2013 -  13 15 18 19 20 26 34 -  5 9 32 35
16/2013 -  1 4 10 15 19 30 34 -  12 17 26 31
17/2013 -  4 5 9 17 18 27 34 -  6 21 25 33
18/2013 -  5 11 18 22 25 31 35 -  4 6 19 26
19/2013 -  6 11 13 14 20 24 32 -  10 23 31 35
20/2013 -  6 14 16 21 22 23 32 -  19 20 27 33
21/2013 -  2 3 15 21 25 26 27 -  6 14 18 34
22/2013 -  2 13 18 23 25 27 33 -  8 11 29 32
23/2013 -  2 6 8 9 10 23 28 -  14 16 21 29
24/2013 -  9 15 24 27 28 31 32 -  3 10 11 18
25/2013 -  3 10 21 28 29 30 35 -  1 6 26 33

